climber	447_d393_s038	33	3200	25.11.2012_10:37	j	447d393s038
climber	0066_s436_s037	33	2900	25.11.2012_11:03	j	0066s436s037
climbeh	0194_p338_s027	xl	1500	10.11.2012_12:43	rub	0194p338s027
climber	0942_d66_s01	31	3000	28.08.2009_11:22	j	000000350570_000000350563_000000350587_000000350600
climber	454_d495_b030	29	3100	25.11.2012_10:25	j	454d495b030
voes	80012938_utep	29	1600	11.11.2011_11:42	j_utep	velvet
climber	0113_o097_s01	m	1950	13.03.2012_12:47	olimp	0113o097s01
into	8208_sin	l	1200	24.10.2012_09:49	maika	8208sin
climber	116_o099_s01	2xl	1350	18.03.2012_14:45	batnik	116o099s01
into	8050_haki	m	1300	17.12.2009_10:53	batnik	63jhsd894/\\-=
applause	02027	30	2700	24.11.2012_10:22	j_girl	72658728285218491
regass	853239	34	1700	25.12.2011_10:22	j	853239
class	1060	36	1500	11.09.2009_09:08	bluza	jjgjsjkgjgjgfjg
mirac	2156	42	2200	21.10.2012_11:35	j	825255252
fusion	74487_sin	36	1700	10.03.2012_11:59	bluza	6567546767454567888656578
aras	1977	38	1800	24.11.2012_10:02	kofta	1977777
dqmane	3238	m	2200	25.11.2012_10:15	plat'e	837539828592
fendi	3519	s	2100	24.11.2012_10:05	kofta	0872528285397
mirey	1243-691	38	1950	24.11.2012_10:24	jubka	72287828728871
mirac	2145	40	2100	21.10.2012_11:35	j	88983589290982095
tango	5050	48	2400	24.11.2012_10:46	bryki	82582578587582
climber	0079_s092_s01	31	2950	26.08.2010_12:59	j	8698976268443
vivoesco	6279	30	1500	06.04.2012_11:16	j	62796279
armani	10795	33	2250	10.10.2009_09:31	jubka	ouiyfrtdyui
tango	2914	44	2400	24.11.2012_10:46	bryki	882758258281898
dsqared	66344	31	2700	24.11.2012_10:23	j_girl	827827819592989
regass	852899	33	1700	08.12.2011_09:35	j	852899
climber	543_d521_b029	46	3300	25.11.2012_10:34	j	543d521b029
climber	0284_d363	32	3100	07.12.2011_13:52	j	284d363
