jordan_girl	1058-90	29	1900	01.09.2009_13:57	j	gffhjhkgffc
mirac	1447	38	1900	01.04.2011_11:58	j	896u309295924394u9gj34t
la_peron	3109_roz	s	1200	24.06.2010_14:13	batnik	0987654345677
carlo_space	803_golub	38	1000	30.04.2010_20:13	j	803803
climber	0232_g160_s02	32	2700	05.06.2011_09:47	j	0232g160s02
semco	8167-01	2xl	1200	14.04.2010_00:43	rubashka_men	3400000038497
armani	172	34	2700	01.04.2011_11:52	j	894y638832918492gdew
mirac	1742	36	2300	19.02.2011_09:11	j	17421742
wallys	222	32	1700	14.04.2010_01:26	j	ghhjgff5676787
jp	5070	l	1100	30.05.2011_10:17	rub_man	50705070
mcl	23215_bel	m	900	26.06.2010_13:48	maika_man	8754343556789
